,entity,numberOfDocumentsInQuery,kullbackLeiberDivergence,totalNumberOfDocuments,label
0,UBERON:UBERON_0002542,52,0.06964194499350679,94357,scale
1,UBERON:UBERON_0014899,40,0.04040002050883407,76761,anterolateral ligament of knee
2,UBERON:UBERON_0035971,26,0.06369837010342932,39061,postsubiculum
3,UBERON:UBERON_0000033,25,-0.00368021583718289,58406,head
4,UBERON:UBERON_0001851,20,-0.0496544422002625,69499,cortex
5,UBERON:UBERON_2002175,17,-0.13796373402138462,153910,rostral octaval nerve motor nucleus
6,UBERON:UBERON_0035944,13,-0.08650103606515347,91802,life-death temporal boundary
7,UBERON:UBERON_0010743,13,-0.0932680507070296,100296,meningeal cluster
8,UBERON:UBERON_0004529,12,-0.10941778224759004,128832,anatomical projection
9,UBERON:UBERON_0000178,12,-0.10316094723634184,117904,blood
10,UBERON:UBERON_0000955,10,-0.08458001622313123,95963,brain
11,UBERON:UBERON_0000104,10,-0.09284955277913376,110448,life cycle
12,UBERON:UBERON_0001897,8,0.0035709160413075368,16896,dorsal plus ventral thalamus
13,UBERON:UBERON_0001359,8,-0.05594584193733965,59848,cerebrospinal fluid
14,UBERON:UBERON_0007023,8,-0.06551922970293432,73350,adult organism
15,UBERON:UBERON_0002298,7,-0.010473548532543469,20569,brainstem
16,UBERON:UBERON_0001016,6,-0.06291567810547151,81279,nervous system
17,UBERON:UBERON_0016525,6,0.006167912536464546,11479,frontal lobe
18,UBERON:UBERON_0000468,6,-0.06692424418580922,91055,multi-cellular organism
19,UBERON:UBERON_0001871,5,-0.0010685301390924386,11814,temporal lobe
20,UBERON:UBERON_0001969,5,-0.04547105520598868,53462,blood plasma
21,UBERON:UBERON_0013702,5,-0.06154062879273599,92327,body proper
22,UBERON:UBERON_0000451,5,-0.007426719360985699,14665,prefrontal cortex
23,UBERON:UBERON_0001869,4,-0.02074018840991445,22005,cerebral hemisphere
24,UBERON:UBERON_0003101,4,-0.04661304556167134,66080,male organism
25,UBERON:UBERON_0003100,4,-0.04162243890654711,53451,female organism
26,UBERON:UBERON_0004704,4,-0.036757960996680335,43468,bone fossa
27,UBERON:UBERON_0001887,3,0.019453231568763503,2270,internal capsule of telencephalon
28,UBERON:UBERON_0001627,3,-0.008463115825975465,11042,middle cerebral artery
29,UBERON:UBERON_0002398,3,-0.038652649009344224,61096,manus
30,UBERON:UBERON_0002316,3,-0.02475717177011791,27800,white matter
31,UBERON:UBERON_0006093,3,0.01349883542863946,3181,precuneus cortex
32,UBERON:UBERON_0002813,3,0.0010025284950675255,6458,right cerebral hemisphere
33,UBERON:UBERON_0002899,3,-0.0011214801436844424,7284,hippocampal sulcus
34,UBERON:UBERON_2000092,3,-0.009349823016263987,11611,obsolete axis
35,UBERON:UBERON_0001977,3,-0.04299774394335383,78153,blood serum
36,UBERON:UBERON_0000467,3,-0.01196276182056344,13464,anatomical system
37,UBERON:UBERON_0000956,2,-0.02054251010439511,26122,cerebral cortex
38,UBERON:UBERON_0007222,2,-0.023780398951441826,34398,late adult stage
39,UBERON:UBERON_0010750,2,-0.0076090994035546075,8701,prefrontal bone
40,UBERON:UBERON_0000045,2,-0.018976827187473084,22867,ganglion
41,UBERON:UBERON_0001894,2,-0.017717667794262662,20546,diencephalon
42,UBERON:UBERON_0001891,2,-0.01133506847534758,11943,midbrain
43,UBERON:UBERON_0002107,2,-0.025631693034469414,40260,liver
44,UBERON:UBERON_0011306,2,-0.0009398914626040137,4936,deep part of temporalis
45,UBERON:UBERON_0000403,2,-0.005749726445740277,7429,scalp
46,UBERON:UBERON_0016530,2,-0.00192695161632512,5368,parietal cortex
47,UBERON:UBERON_0000120,2,-0.021312562747877968,27889,blood brain barrier
48,UBERON:UBERON_0002020,2,-0.01476969511666298,15992,gray matter
49,UBERON:UBERON_0007361,2,-0.012930872828166576,13678,ruminant reticulum
50,UBERON:UBERON_0027368,2,-0.026127230725508863,41992,matrix compartment
51,UBERON:UBERON_0022353,2,0.008744950467382627,2167,posterior cingulate cortex
52,UBERON:UBERON_0013755,1,-0.005457454734944332,5762,arterial blood
53,UBERON:UBERON_0000315,1,-0.003562335450476581,4175,subarachnoid space
54,UBERON:UBERON_0003544,1,-1.290697304394703e-06,2279,brain white matter
55,UBERON:UBERON_0001882,1,-0.003047300797392348,3825,nucleus accumbens
56,UBERON:UBERON_0001088,1,-0.012128153223898836,17909,urine
57,UBERON:UBERON_0004879,1,-0.006130981016789578,6461,marginal zone of embryo
58,UBERON:UBERON_0027239,1,-0.0009853514486257182,2694,dopaminergic system
59,UBERON:UBERON_0002336,1,-0.0074891175919006145,8139,corpus callosum
60,UBERON:UBERON_0000966,1,-0.01103902998384276,14882,retina
61,UBERON:UBERON_0001019,1,0.002911372164409373,1389,nerve fasciculus
62,UBERON:UBERON_0002740,1,0.005629698378507781,875,posterior cingulate gyrus
63,UBERON:UBERON_0000200,1,-0.00574727461875147,6053,gyrus
64,UBERON:UBERON_0001771,1,-0.0033075112020965183,3998,pupil
65,UBERON:UBERON_0002743,1,-0.0008012703411481865,2611,basal forebrain
66,UBERON:UBERON_0001499,1,0.017219126858651058,122,muscle of arm
67,UBERON:UBERON_0001137,1,-0.016402829870918696,37040,dorsum
68,UBERON:UBERON_0003030,1,0.009975242224583415,418,posterior nucleus of thalamus
69,UBERON:UBERON_0001130,1,-0.01636139345561397,36780,vertebral column
70,UBERON:UBERON_0008200,1,0.0008587737180283044,1969,forehead
71,UBERON:UBERON_0015599,1,0.0028106013412906453,1413,genu of corpus callosum
72,UBERON:UBERON_0010225,1,0.02491038264257328,33,thalamic complex
73,UBERON:UBERON_0002713,1,0.014770098738974191,185,circular sulcus of insula
74,UBERON:UBERON_0015593,1,0.011330221422279109,332,frontal gyrus
75,UBERON:UBERON_0003882,1,-0.01177100403310801,16854,CA2 field of hippocampus
76,UBERON:UBERON_0003129,1,-0.011182718654891885,15250,skull
77,UBERON:UBERON_0000014,1,-0.016423755635137014,37172,zone of skin
78,UBERON:UBERON_0004452,1,-0.0016221258911145301,3002,carpal region
79,UBERON:UBERON_0002394,1,0.006412296711549093,766,bile duct
80,UBERON:UBERON_0006092,1,0.005616268343127966,877,cuneus cortex
81,UBERON:UBERON_0005281,1,0.0028944566877890077,1393,ventricular system of central nervous system
82,UBERON:UBERON_0012356,1,0.003607390624932965,1234,pedal acropodium region
83,UBERON:UBERON_0001872,1,-0.0031871101350699647,3917,parietal lobe
84,UBERON:UBERON_0001630,1,-0.016266105138409155,36189,muscle organ
85,UBERON:UBERON_0002602,1,0.006336000532474815,776,emboliform nucleus
86,UBERON:UBERON_0001875,1,-0.0022479648778806907,3339,globus pallidus
87,UBERON:UBERON_0001874,1,-0.005460516599995425,5765,putamen
88,UBERON:UBERON_0002285,1,-0.004800363162495806,5153,telencephalic ventricle
89,UBERON:UBERON_0006088,1,0.005869827758038695,840,inferior parietal cortex
90,UBERON:UBERON_0002812,1,-0.005446214241234217,5751,left cerebral hemisphere
91,UBERON:UBERON_0025534,1,-0.00862640575920815,9875,sensorimotor system
92,UBERON:UBERON_0006331,1,0.004058005570053686,1143,brainstem nucleus
93,UBERON:UBERON_0002371,1,-0.011676006137715756,16584,bone marrow
94,UBERON:UBERON_0016538,1,-0.005627502947851702,5931,temporal cortex
95,UBERON:UBERON_0002702,1,0.0004854871867511463,2098,middle frontal gyrus
96,UBERON:UBERON_0000004,1,-0.0068103527127694385,7252,nose
97,UBERON:UBERON_0002022,1,-0.005831220061395594,6140,insula
98,UBERON:UBERON_0002021,1,-0.001960963912178149,3180,occipital lobe
99,UBERON:UBERON_0000482,1,0.0026221533069479505,1459,basal lamina
100,UBERON:UBERON_0000978,1,-0.003471464565846713,4111,leg
101,UBERON:UBERON_0000177,1,0.001360565116187149,1808,pus
102,UBERON:UBERON_0002756,1,-0.0066073505473735,7006,anterior cingulate gyrus
103,UBERON:UBERON_0000974,1,-0.011451507132709069,15963,neck
104,UBERON:UBERON_0000454,1,-0.011402291424536002,15830,cerebral subcortex
105,UBERON:UBERON_0001940,1,-0.012743813805516788,19885,supramammillary nucleus
106,UBERON:UBERON_0011639,1,2.717026974290988e-05,2268,frontoparietal bone
107,UBERON:UBERON_0025595,1,0.0015288795442167061,1757,cholinergic system
108,UBERON:UBERON_0002809,1,0.0039660919353296815,1161,right temporal lobe
109,UBERON:UBERON_0000988,1,-0.005381419769289056,5688,pons
110,UBERON:UBERON_0001833,1,-0.001473298094046757,2927,lip
111,UBERON:UBERON_0035015,1,0.0022586641762398427,1552,association cortex
112,UBERON:UBERON_0002807,1,0.011848499466457149,304,right occipital lobe
113,UBERON:UBERON_0009835,1,0.009489267133309349,454,anterior cingulate cortex
114,UBERON:UBERON_0015708,1,0.0028106013412906453,1413,splenium of the corpus callosum
115,UBERON:UBERON_0002240,1,-0.015983588713931046,34492,spinal cord
116,UBERON:UBERON_0000062,1,-0.01922228992521676,59818,organ
